target,similarity,source
420f2fd930251db10344c45adf75c3f38cb9d713,0.12156298558975008,07ff62cd1432440eae1778810c1f29536fcbbc94
4eb943bf999ce49e5ebb629d7d0ffee44becff94,0.07995490549333384,07ff62cd1432440eae1778810c1f29536fcbbc94
c61d139a2382760f560164e25e4be264de5dd59f,0.5311363762056016,07ff62cd1432440eae1778810c1f29536fcbbc94
f2b748b9ea96ab4f548d63653ae46ae17cea5a75,0.15782431206531344,fd0da2f1d2b95e5b62221a00ff132219d0c853b7
81aa35a5ab4dcebff9d254cef64cbb6ee80a8756,0.08652879029896221,fd0da2f1d2b95e5b62221a00ff132219d0c853b7
cdbfb3714e19680dafb3711d525b481c08a1566f,0.2785034560044592,fd0da2f1d2b95e5b62221a00ff132219d0c853b7
2ea4a33a468958de14303daaaba2349d0ed07b73,0.1816535065262417,9b7861d28f653ead3e02f1ae5c07540b2d07346d
734906f1bb0eaa751d34919216c7a30649793f29,0.12314188556136862,9b7861d28f653ead3e02f1ae5c07540b2d07346d
ea61d3d488522e63ef21add5cb62e0cb9a8d3fcc,0.0,9b7861d28f653ead3e02f1ae5c07540b2d07346d
abd1d4b24d13b8a5bfbcab3db994a3f33f058709,0.1393816242153944,9b7861d28f653ead3e02f1ae5c07540b2d07346d
2e3e09e48a7a62dc30efd8ef7fc4665a53e84d7a,0.10019765165195632,9b7861d28f653ead3e02f1ae5c07540b2d07346d
fd1e0301c8d276aaa062710b4966e3913465ceb3,0.08148520641296984,9b7861d28f653ead3e02f1ae5c07540b2d07346d
00e6b6ea28c0217d7c7e90824c17b37528f69104,0.08520191034617777,9b7861d28f653ead3e02f1ae5c07540b2d07346d
8adb8257a423f55b1f20ba62c8b20118d76a25c7,0.11780670858920443,e141d68065ce638f9fc4f006eab2f66711e89768
af7802a50a8c294ebfd539ad72158475e5ecd9f2,0.09823381364868414,e141d68065ce638f9fc4f006eab2f66711e89768
02edd775274032afa9fd0420386d38ba3a58c18a,0.09850991505973876,e141d68065ce638f9fc4f006eab2f66711e89768
779b6db80728786392fff652d968c4a87ea68de0,0.06638033010063238,415dca031402b5186c0c8bf00ca7bb60bfedb986
4eb943bf999ce49e5ebb629d7d0ffee44becff94,0.10126334711202756,415dca031402b5186c0c8bf00ca7bb60bfedb986
25c19c8c1d6778a16f8b27beac4d9c6a55357580,0.0,415dca031402b5186c0c8bf00ca7bb60bfedb986
07ff62cd1432440eae1778810c1f29536fcbbc94,0.1489005683927579,c75646b4c7c2be3146d4100faa9709e87b566a29
8adb8257a423f55b1f20ba62c8b20118d76a25c7,0.1509386613313164,c75646b4c7c2be3146d4100faa9709e87b566a29
e141d68065ce638f9fc4f006eab2f66711e89768,0.0836134520093812,c75646b4c7c2be3146d4100faa9709e87b566a29
4eb943bf999ce49e5ebb629d7d0ffee44becff94,0.08537769213726057,c75646b4c7c2be3146d4100faa9709e87b566a29
8e0255de95f7320e2343a7f6576ebddaf144dc9f,0.030636643226811002,c75646b4c7c2be3146d4100faa9709e87b566a29
2f337a8f9942a9f3d58525503b782400715537de,0.1117636759516248,c75646b4c7c2be3146d4100faa9709e87b566a29
408f31b7f1a1b9f4a13ea797b6253585ff361430,0.1704492341764053,c75646b4c7c2be3146d4100faa9709e87b566a29
9c34c574c926f40972b92cee1ae9816c4abe42b3,0.10488878829199316,c75646b4c7c2be3146d4100faa9709e87b566a29
a64ca771a733d58dcbf8f7a3fe65a09310424bf8,0.04785150250093395,c75646b4c7c2be3146d4100faa9709e87b566a29
8adb8257a423f55b1f20ba62c8b20118d76a25c7,0.3259489466985527,26bc0449360d7016f684eafae5b5d2feded32041
